paraphrase,template_id,prop,possible_answers,id
What job does Kathy Saltzman do?,4,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4822110
What is Kathy Saltzman's job?,5,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4822110
What is Eleanor Davis's occupation?,0,occupation,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",4011112
What is the occupation of Eleanor Davis?,1,occupation,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",4011112
What kind of work does Eleanor Davis do?,2,occupation,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",4011112
What does Eleanor Davis earn a living as?,3,occupation,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",4011112
What job does Eleanor Davis do?,4,occupation,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",4011112
What is Eleanor Davis's job?,5,occupation,"[""cartoonist"", ""graphic artist"", ""animator"", ""illustrator""]",4011112
What is Alexander Rinnooy Kan's occupation?,0,occupation,"[""mathematician"", ""economist"", ""economists""]",1730929
What is the occupation of Alexander Rinnooy Kan?,1,occupation,"[""mathematician"", ""economist"", ""economists""]",1730929
What kind of work does Alexander Rinnooy Kan do?,2,occupation,"[""mathematician"", ""economist"", ""economists""]",1730929
What does Alexander Rinnooy Kan earn a living as?,3,occupation,"[""mathematician"", ""economist"", ""economists""]",1730929
What job does Alexander Rinnooy Kan do?,4,occupation,"[""mathematician"", ""economist"", ""economists""]",1730929
What is Alexander Rinnooy Kan's job?,5,occupation,"[""mathematician"", ""economist"", ""economists""]",1730929
What is Scooter Braun's occupation?,0,occupation,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]",276787
What is the occupation of Scooter Braun?,1,occupation,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]",276787
What kind of work does Scooter Braun do?,2,occupation,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]",276787
What does Scooter Braun earn a living as?,3,occupation,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]",276787
What job does Scooter Braun do?,4,occupation,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]",276787
What is Scooter Braun's job?,5,occupation,"[""talent manager"", ""artist manager"", ""band manager"", ""music manager"", ""musician manager"", ""manager"", ""pop entrepreneur""]",276787
What is Leona Detiège's occupation?,0,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",1758574
What is the occupation of Leona Detiège?,1,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",1758574
What kind of work does Leona Detiège do?,2,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",1758574
What does Leona Detiège earn a living as?,3,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",1758574
What job does Leona Detiège do?,4,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",1758574
What is Leona Detiège's job?,5,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",1758574
"What is William Murray, 1st Earl of Mansfield's occupation?",0,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",6339290
"What is the occupation of William Murray, 1st Earl of Mansfield?",1,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",6339290
"What kind of work does William Murray, 1st Earl of Mansfield do?",2,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",6339290
"What does William Murray, 1st Earl of Mansfield earn a living as?",3,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",6339290
"What job does William Murray, 1st Earl of Mansfield do?",4,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",6339290
"What is William Murray, 1st Earl of Mansfield's job?",5,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",6339290
What is Þorsteinn Bachmann's occupation?,0,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",6250781
What is the occupation of Þorsteinn Bachmann?,1,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",6250781
What kind of work does Þorsteinn Bachmann do?,2,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",6250781
What does Þorsteinn Bachmann earn a living as?,3,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",6250781
What job does Þorsteinn Bachmann do?,4,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",6250781
What is Þorsteinn Bachmann's job?,5,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",6250781
What is Herlyn Espinal's occupation?,0,occupation,"[""journalist"", ""journo"", ""journalists""]",1223902
What is the occupation of Herlyn Espinal?,1,occupation,"[""journalist"", ""journo"", ""journalists""]",1223902
What kind of work does Herlyn Espinal do?,2,occupation,"[""journalist"", ""journo"", ""journalists""]",1223902
What does Herlyn Espinal earn a living as?,3,occupation,"[""journalist"", ""journo"", ""journalists""]",1223902
What job does Herlyn Espinal do?,4,occupation,"[""journalist"", ""journo"", ""journalists""]",1223902
What is Herlyn Espinal's job?,5,occupation,"[""journalist"", ""journo"", ""journalists""]",1223902
What is Jacob Kraemer's occupation?,0,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",4607081
What is the occupation of Jacob Kraemer?,1,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",4607081
What kind of work does Jacob Kraemer do?,2,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",4607081
What does Jacob Kraemer earn a living as?,3,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",4607081
What job does Jacob Kraemer do?,4,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",4607081
What is Jacob Kraemer's job?,5,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",4607081
What is Fred C. Newmeyer's occupation?,0,occupation,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",596555
What is the occupation of Fred C. Newmeyer?,1,occupation,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",596555
What kind of work does Fred C. Newmeyer do?,2,occupation,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",596555
What does Fred C. Newmeyer earn a living as?,3,occupation,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",596555
What job does Fred C. Newmeyer do?,4,occupation,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",596555
What is Fred C. Newmeyer's job?,5,occupation,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",596555
What is Edward Corser's occupation?,0,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",3994636
What is the occupation of Edward Corser?,1,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",3994636
What kind of work does Edward Corser do?,2,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",3994636
What does Edward Corser earn a living as?,3,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",3994636
What job does Edward Corser do?,4,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",3994636
What is Edward Corser's job?,5,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",3994636
What is Bae Geu-rin's occupation?,0,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",394743
What is the occupation of Bae Geu-rin?,1,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",394743
What kind of work does Bae Geu-rin do?,2,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",394743
What does Bae Geu-rin earn a living as?,3,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",394743
What job does Bae Geu-rin do?,4,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",394743
What is Bae Geu-rin's job?,5,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",394743
What is Javier Alva Orlandini's occupation?,0,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4650739
What is the occupation of Javier Alva Orlandini?,1,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4650739
What kind of work does Javier Alva Orlandini do?,2,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4650739
What does Javier Alva Orlandini earn a living as?,3,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4650739
What job does Javier Alva Orlandini do?,4,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4650739
What is Javier Alva Orlandini's job?,5,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4650739
What is Edgar Allan Poe's occupation?,0,occupation,"[""journalist"", ""journo"", ""journalists"", ""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter"", ""poet"", ""poetess"", ""bard""]",1085496
What is the occupation of Edgar Allan Poe?,1,occupation,"[""journalist"", ""journo"", ""journalists"", ""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter"", ""poet"", ""poetess"", ""bard""]",1085496
What kind of work does Edgar Allan Poe do?,2,occupation,"[""journalist"", ""journo"", ""journalists"", ""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter"", ""poet"", ""poetess"", ""bard""]",1085496
What does Edgar Allan Poe earn a living as?,3,occupation,"[""journalist"", ""journo"", ""journalists"", ""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter"", ""poet"", ""poetess"", ""bard""]",1085496
What job does Edgar Allan Poe do?,4,occupation,"[""journalist"", ""journo"", ""journalists"", ""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter"", ""poet"", ""poetess"", ""bard""]",1085496
What is Edgar Allan Poe's job?,5,occupation,"[""journalist"", ""journo"", ""journalists"", ""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter"", ""poet"", ""poetess"", ""bard""]",1085496
What is John Finlay's occupation?,0,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4711830
What is the occupation of John Finlay?,1,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4711830
What kind of work does John Finlay do?,2,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4711830
What does John Finlay earn a living as?,3,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4711830
What job does John Finlay do?,4,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4711830
What is John Finlay's job?,5,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4711830
What is John Floyd's occupation?,0,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",783368
What is the occupation of John Floyd?,1,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",783368
What kind of work does John Floyd do?,2,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",783368
What does John Floyd earn a living as?,3,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",783368
What job does John Floyd do?,4,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",783368
What is John Floyd's job?,5,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",783368
What is Sachiko Kokubu's occupation?,0,occupation,"[""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]",2693461
What is the occupation of Sachiko Kokubu?,1,occupation,"[""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]",2693461
What kind of work does Sachiko Kokubu do?,2,occupation,"[""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]",2693461
What does Sachiko Kokubu earn a living as?,3,occupation,"[""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]",2693461
What job does Sachiko Kokubu do?,4,occupation,"[""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]",2693461
What is Sachiko Kokubu's job?,5,occupation,"[""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]",2693461
What is Rudolf Hilferding's occupation?,0,occupation,"[""economist"", ""economists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4419938
What is the occupation of Rudolf Hilferding?,1,occupation,"[""economist"", ""economists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4419938
What kind of work does Rudolf Hilferding do?,2,occupation,"[""economist"", ""economists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4419938
What does Rudolf Hilferding earn a living as?,3,occupation,"[""economist"", ""economists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4419938
What job does Rudolf Hilferding do?,4,occupation,"[""economist"", ""economists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4419938
What is Rudolf Hilferding's job?,5,occupation,"[""economist"", ""economists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",4419938
"What is Charles Strachey, 4th Baron O'Hagan's occupation?",0,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",3696050
"What is the occupation of Charles Strachey, 4th Baron O'Hagan?",1,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",3696050
"What kind of work does Charles Strachey, 4th Baron O'Hagan do?",2,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",3696050
"What does Charles Strachey, 4th Baron O'Hagan earn a living as?",3,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",3696050
"What job does Charles Strachey, 4th Baron O'Hagan do?",4,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",3696050
"What is Charles Strachey, 4th Baron O'Hagan's job?",5,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",3696050
What is Akari Hayami's occupation?,0,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",4651204
What is the occupation of Akari Hayami?,1,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",4651204
What kind of work does Akari Hayami do?,2,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",4651204
What does Akari Hayami earn a living as?,3,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",4651204
What job does Akari Hayami do?,4,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",4651204
What is Akari Hayami's job?,5,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",4651204
What is Richard Martin's occupation?,0,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",2605479
What is the occupation of Richard Martin?,1,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",2605479
What kind of work does Richard Martin do?,2,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",2605479
What does Richard Martin earn a living as?,3,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",2605479
What job does Richard Martin do?,4,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",2605479
What is Richard Martin's job?,5,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",2605479
"What is Harvey Peltier, Sr.'s occupation?",0,occupation,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",839130
"What is the occupation of Harvey Peltier, Sr.?",1,occupation,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",839130
"What kind of work does Harvey Peltier, Sr. do?",2,occupation,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",839130
"What does Harvey Peltier, Sr. earn a living as?",3,occupation,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",839130
"What job does Harvey Peltier, Sr. do?",4,occupation,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",839130
"What is Harvey Peltier, Sr.'s job?",5,occupation,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",839130
What is Paris's occupation?,0,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",5383283
What is the occupation of Paris?,1,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",5383283
What kind of work does Paris do?,2,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",5383283
What does Paris earn a living as?,3,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",5383283
What job does Paris do?,4,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",5383283
What is Paris's job?,5,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",5383283
What is Fairfax M. Cone's occupation?,0,occupation,"[""businessperson"", ""business person"", ""dealer"", ""businesswoman"", ""business man"", ""business woman"", ""businessman""]",4087826
What is the occupation of Fairfax M. Cone?,1,occupation,"[""businessperson"", ""business person"", ""dealer"", ""businesswoman"", ""business man"", ""business woman"", ""businessman""]",4087826
What kind of work does Fairfax M. Cone do?,2,occupation,"[""businessperson"", ""business person"", ""dealer"", ""businesswoman"", ""business man"", ""business woman"", ""businessman""]",4087826
What does Fairfax M. Cone earn a living as?,3,occupation,"[""businessperson"", ""business person"", ""dealer"", ""businesswoman"", ""business man"", ""business woman"", ""businessman""]",4087826
What job does Fairfax M. Cone do?,4,occupation,"[""businessperson"", ""business person"", ""dealer"", ""businesswoman"", ""business man"", ""business woman"", ""businessman""]",4087826
What is Fairfax M. Cone's job?,5,occupation,"[""businessperson"", ""business person"", ""dealer"", ""businesswoman"", ""business man"", ""business woman"", ""businessman""]",4087826
What is Colleen Zenk Pinter's occupation?,0,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",3635613
What is the occupation of Colleen Zenk Pinter?,1,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",3635613
What kind of work does Colleen Zenk Pinter do?,2,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",3635613
What does Colleen Zenk Pinter earn a living as?,3,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",3635613
What job does Colleen Zenk Pinter do?,4,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",3635613
What is Colleen Zenk Pinter's job?,5,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",3635613
What is Thomas McMurtry's occupation?,0,occupation,"[""test pilot""]",5982132
What is the occupation of Thomas McMurtry?,1,occupation,"[""test pilot""]",5982132
What kind of work does Thomas McMurtry do?,2,occupation,"[""test pilot""]",5982132
What does Thomas McMurtry earn a living as?,3,occupation,"[""test pilot""]",5982132
What job does Thomas McMurtry do?,4,occupation,"[""test pilot""]",5982132
What is Thomas McMurtry's job?,5,occupation,"[""test pilot""]",5982132
What is Albert Bates's occupation?,0,occupation,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers""]",3261572
What is the occupation of Albert Bates?,1,occupation,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers""]",3261572
What kind of work does Albert Bates do?,2,occupation,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers""]",3261572
What does Albert Bates earn a living as?,3,occupation,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers""]",3261572
What job does Albert Bates do?,4,occupation,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers""]",3261572
What is Albert Bates's job?,5,occupation,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers""]",3261572
What is Heath's occupation?,0,occupation,"[""songwriter"", ""song writer""]",857817
What is the occupation of Heath?,1,occupation,"[""songwriter"", ""song writer""]",857817
What kind of work does Heath do?,2,occupation,"[""songwriter"", ""song writer""]",857817
What does Heath earn a living as?,3,occupation,"[""songwriter"", ""song writer""]",857817
What job does Heath do?,4,occupation,"[""songwriter"", ""song writer""]",857817
What is Heath's job?,5,occupation,"[""songwriter"", ""song writer""]",857817
What is Wise's occupation?,0,occupation,"[""record producer"", ""music producer""]",6206947
What is the occupation of Wise?,1,occupation,"[""record producer"", ""music producer""]",6206947
What kind of work does Wise do?,2,occupation,"[""record producer"", ""music producer""]",6206947
What does Wise earn a living as?,3,occupation,"[""record producer"", ""music producer""]",6206947
What job does Wise do?,4,occupation,"[""record producer"", ""music producer""]",6206947
What is Wise's job?,5,occupation,"[""record producer"", ""music producer""]",6206947
What is Stevie Cameron's occupation?,0,occupation,"[""journalist"", ""journo"", ""journalists""]",2657379
What is the occupation of Stevie Cameron?,1,occupation,"[""journalist"", ""journo"", ""journalists""]",2657379
What kind of work does Stevie Cameron do?,2,occupation,"[""journalist"", ""journo"", ""journalists""]",2657379
What does Stevie Cameron earn a living as?,3,occupation,"[""journalist"", ""journo"", ""journalists""]",2657379
What job does Stevie Cameron do?,4,occupation,"[""journalist"", ""journo"", ""journalists""]",2657379
What is Stevie Cameron's job?,5,occupation,"[""journalist"", ""journo"", ""journalists""]",2657379
What is Yoshiki Tonogai's occupation?,0,occupation,"[""mangaka"", ""manga artist""]",3835721
What is the occupation of Yoshiki Tonogai?,1,occupation,"[""mangaka"", ""manga artist""]",3835721
What kind of work does Yoshiki Tonogai do?,2,occupation,"[""mangaka"", ""manga artist""]",3835721
What does Yoshiki Tonogai earn a living as?,3,occupation,"[""mangaka"", ""manga artist""]",3835721
What job does Yoshiki Tonogai do?,4,occupation,"[""mangaka"", ""manga artist""]",3835721
What is Yoshiki Tonogai's job?,5,occupation,"[""mangaka"", ""manga artist""]",3835721
What is Geeling Ng's occupation?,0,occupation,"[""restaurateur"", ""gastronomist"", ""restauranteur""]",4198902
What is the occupation of Geeling Ng?,1,occupation,"[""restaurateur"", ""gastronomist"", ""restauranteur""]",4198902
What kind of work does Geeling Ng do?,2,occupation,"[""restaurateur"", ""gastronomist"", ""restauranteur""]",4198902
What does Geeling Ng earn a living as?,3,occupation,"[""restaurateur"", ""gastronomist"", ""restauranteur""]",4198902
What job does Geeling Ng do?,4,occupation,"[""restaurateur"", ""gastronomist"", ""restauranteur""]",4198902
What is Geeling Ng's job?,5,occupation,"[""restaurateur"", ""gastronomist"", ""restauranteur""]",4198902
What is Bruce McDaniel's occupation?,0,occupation,"[""composer""]",3583128
What is the occupation of Bruce McDaniel?,1,occupation,"[""composer""]",3583128
What kind of work does Bruce McDaniel do?,2,occupation,"[""composer""]",3583128
What does Bruce McDaniel earn a living as?,3,occupation,"[""composer""]",3583128
What job does Bruce McDaniel do?,4,occupation,"[""composer""]",3583128
What is Bruce McDaniel's job?,5,occupation,"[""composer""]",3583128
What is Thomas R. Whitney's occupation?,0,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",5807710
What is the occupation of Thomas R. Whitney?,1,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",5807710
What kind of work does Thomas R. Whitney do?,2,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",5807710
What does Thomas R. Whitney earn a living as?,3,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",5807710
What job does Thomas R. Whitney do?,4,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",5807710
What is Thomas R. Whitney's job?,5,occupation,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",5807710
What is William Lescaze's occupation?,0,occupation,"[""architect""]",4172941
What is the occupation of William Lescaze?,1,occupation,"[""architect""]",4172941
What kind of work does William Lescaze do?,2,occupation,"[""architect""]",4172941
What does William Lescaze earn a living as?,3,occupation,"[""architect""]",4172941
What job does William Lescaze do?,4,occupation,"[""architect""]",4172941
What is William Lescaze's job?,5,occupation,"[""architect""]",4172941
What is Edwin Wallock's occupation?,0,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",2303897
What is the occupation of Edwin Wallock?,1,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",2303897
What kind of work does Edwin Wallock do?,2,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",2303897
What does Edwin Wallock earn a living as?,3,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",2303897
What job does Edwin Wallock do?,4,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",2303897
What is Edwin Wallock's job?,5,occupation,"[""actor"", ""actress"", ""actors"", ""actresses""]",2303897
